asset_class,symbol,description,instrument_type,native_start,max_history_start,history_source,splice_chain,live_source,confidence,notes
treasury_etf,SHY,iShares 1-3yr Treasury,etf,2002-07-22,1992,Tiingo/yfinance,ICE 1-3y Tsy TR -> SHY,Tiingo,H,Short Treasury (~2Y)
treasury_etf,IEI,iShares 3-7yr Treasury,etf,2007-01-05,1973,Tiingo/yfinance,ICE 3-7y Tsy TR -> IEI,Tiingo,M,Intermediate (~5Y); verify day
treasury_etf,IEF,iShares 7-10yr Treasury,etf,2002-07-22,1992,Tiingo/yfinance,ICE 7-10y Tsy TR -> IEF,Tiingo,H,Intermediate (~10Y)
treasury_etf,TLH,iShares 10-20yr Treasury,etf,2007-01-05,1973,Tiingo/yfinance,ICE 10-20y Tsy TR -> TLH,Tiingo,M,Long-intermediate; verify day
treasury_etf,TLT,iShares 20+yr Treasury,etf,2002-07-22,1973,Tiingo/yfinance,Bloomberg Long Tsy TR 1973 -> TLT,Tiingo,H,Long (~25Y)
treasury_etf,GOVT,iShares US Treasury Bond,etf,2012-02-14,1973,Tiingo/yfinance,Bloomberg US Tsy TR 1973 -> GOVT,Tiingo,H,Broad Treasury
treasury_etf,SHV,iShares Short Treasury (0-1y),etf,2007-01-05,1950s,Tiingo/yfinance,Bloomberg short T-bill -> SHV,Tiingo,M,Cash-like; verify day
treasury_etf,BIL,SPDR 1-3mo T-Bill,etf,2007-05-25,1950s,Tiingo/yfinance,Bloomberg 1-3mo T-Bill -> BIL,Tiingo,H,T-bills
treasury_etf,VGSH,Vanguard Short-Term Treasury,etf,2009-11-19,1973,Tiingo/yfinance,Bloomberg Short Tsy -> VGSH,Tiingo,M,Short; verify day
treasury_etf,VGIT,Vanguard Intermediate-Term Treasury,etf,2009-11-19,1973,Tiingo/yfinance,Bloomberg Interm Tsy -> VGIT,Tiingo,M,Intermediate; verify day
treasury_etf,VGLT,Vanguard Long-Term Treasury,etf,2009-11-19,1973,Tiingo/yfinance,Bloomberg Long Tsy TR 1973 -> VGLT,Tiingo,M,Long; verify day
treasury_etf,EDV,Vanguard Extended Duration Treasury (STRIPS 20-30y),etf,2007-12-06,1973,Tiingo/yfinance,Bloomberg STRIPS 20-30y -> EDV,Tiingo,M,Zero-coupon long; verify day
treasury_etf,ZROZ,PIMCO 25+ Yr Zero Coupon Treasury STRIPS,etf,2009-10-30,1973,Tiingo/yfinance,STRIPS 25+y -> ZROZ,Tiingo,M,Zero-coupon long; verify day
credit_etf,AGG,iShares Core US Aggregate Bond,etf,2003-09-22,1976-01,Tiingo/yfinance,Bloomberg US Agg TR 1976 -> AGG,Tiingo,H,US aggregate (Tsy+credit+MBS)
credit_etf,BND,Vanguard Total Bond Market,etf,2007-04-03,1986,Tiingo/yfinance,VBMFX 1986 / Agg 1976 -> BND,Tiingo,H,US aggregate
credit_etf,LQD,iShares iBoxx IG Corp,etf,2002-07-22,1973,Tiingo/yfinance,Bloomberg US Corp IG TR 1973 -> LQD,Tiingo,H,IG corporate
credit_etf,HYG,iShares iBoxx HY Corp,etf,2007-04-04,1983,Tiingo/yfinance,Bloomberg US HY TR 1983 -> HYG,Tiingo,H,High yield
credit_etf,JNK,SPDR Bloomberg High Yield,etf,2007-11-28,1983,Tiingo/yfinance,Bloomberg US HY TR 1983 -> JNK,Tiingo,H,High yield
credit_etf,TIP,iShares TIPS Bond,etf,2003-12-04,1997,Tiingo/yfinance,Bloomberg US TIPS ~1997 -> TIP,Tiingo,H,Inflation-linked
credit_etf,MBB,iShares MBS,etf,2007-03-13,1976,Tiingo/yfinance,Bloomberg US MBS 1976 -> MBB,Tiingo,M,Agency MBS; verify day
rate_series,DGS2,2Y constant-maturity Treasury yield,yield,1976-06,1976-06,FRED,DGS2 1976,FRED,M,Yield not return
rate_series,DGS5,5Y constant-maturity Treasury yield,yield,1962-01-02,1962,FRED,DGS5 1962,FRED,M,
rate_series,DGS10,10Y constant-maturity Treasury yield,yield,1962-01-02,1871,FRED,Shiller 1871 -> GS10 1953 -> DGS10 1962,FRED,H,Workhorse daily
rate_series,GS10,10Y CMT yield monthly,yield,1953-04,1871,FRED,Shiller long rate 1871 -> GS10 1953,FRED,H,
rate_series,TB3MS,3M T-bill rate,yield,1934-01,1934-01,FRED,TB3MS 1934,FRED,H,Deepest short rate
rate_series,DGS30,30Y CMT yield,yield,1977-02,1977-02,FRED,DGS30 (gap 2002-2006),FRED,M,Handle gap explicitly
bond_total_return,US10Y_TR,10Y T-bond total return annual,total_return,1928,1928,Damodaran (NYU Stern),Damodaran histretSP 1928,Damodaran,H,Annual
bond_total_return,USAGG_TR,Bloomberg US Aggregate Bond TR,total_return,1976-01,1976-01,Bloomberg,Bloomberg US Agg 1976,Bloomberg,H,
bond_total_return,LTGOVT_TR,Ibbotson long-term govt bond TR,total_return,1926,1926,Ibbotson/SBBI,SBBI 1926 (pre-1977 modeled),Morningstar,H,Annual/monthly
commodity_future,CL,WTI crude oil,future,1983-03-30,1946,Norgate/CSI,Macrotrends WTI annual 1946 / EIA 1986 -> CL 1983,Norgate/CSI/IB,H,Energy; top-tier
commodity_future,BZ,Brent crude (financial),future,1988-06,1987-05,Norgate/CSI/ICE,Brent spot EIA 1987 -> ICE Brent 1988,Norgate/CSI/ICE,H,Energy; global top-tier
commodity_future,NG,Henry Hub natural gas,future,1990-04,1990-04,Norgate/CSI,NG 1990 (EIA spot 1997),Norgate/CSI/IB,H,Energy; top-tier
commodity_future,HO,Heating oil / ULSD,future,1978,1979,Norgate/CSI,HO 1978-79,Norgate/CSI/IB,H,Energy; secondary
commodity_future,RB,RBOB gasoline,future,2005-10,1984,Norgate/CSI,HU unleaded 1984 -> RB 2005,Norgate/CSI/IB,H,Energy; secondary
commodity_future,GC,Gold,future,1974-12-31,1833,Norgate/CSI,NMA annual gold 1833 / LBMA fix 1968 -> GC 1974,Norgate/CSI/IB,H,Precious; top-tier
commodity_future,SI,Silver,future,1963,1975,Norgate/CSI,COMEX silver 1963 / continuous ~1975; LBMA silver,Norgate/CSI/IB,H,Precious; top-tier
commodity_future,PL,Platinum,future,1956,1968,Norgate/CSI,NYMEX platinum 1956 / continuous ~1968,Norgate/CSI,M,Precious; secondary
commodity_future,PA,Palladium,future,1968,1977,Norgate/CSI,NYMEX palladium 1968 / continuous ~1977,Norgate/CSI,M,Precious; secondary; thin
commodity_future,HG,Copper (high grade),future,1988-07-29,1959,Norgate/CSI,Macrotrends copper 1959 / COMEX -> HG 1988,Norgate/CSI/IB,H,Base metal; top-tier
commodity_future,ALI,Aluminum (NA physical),future,2014-05-05,2014-05-05,Norgate/CSI,ALI 2014 (LME for deep history),Norgate/CSI,H,Base metal; secondary
commodity_etf,USO,United States Oil Fund,etf,2006-04-10,1983-03,Tiingo/yfinance,WTI front-month roll (CL 1983) NOT spot -> USO,Tiingo,H,WTI; futures-backed
commodity_etf,BNO,United States Brent Oil Fund,etf,2010-06-02,1987-05,Tiingo/yfinance,Brent roll (BZ 1988) -> BNO 2010,Tiingo,M,Brent; verify day
commodity_etf,UNG,United States Natural Gas Fund,etf,2007-04-18,1990-04,Tiingo/yfinance,Henry Hub roll (NG 1990) NOT spot -> UNG,Tiingo,H,Nat-gas; contango drag
commodity_etf,UGA,United States Gasoline Fund,etf,2008-02-26,1984,Tiingo/yfinance,RBOB roll (RB/HU) -> UGA 2008,Tiingo,M,Gasoline; verify day
commodity_etf,GLD,SPDR Gold Shares,etf,2004-11-18,1968,Tiingo/yfinance,LBMA Gold PM fix 1968 (spot) -> GLD,Tiingo,H,Gold; physical
commodity_etf,IAU,iShares Gold Trust,etf,2005-01-21,1968,Tiingo/yfinance,LBMA Gold fix 1968 -> IAU,Tiingo,H,Gold; physical
commodity_etf,SGOL,abrdn Physical Gold,etf,2009-09-09,1968,Tiingo/yfinance,LBMA Gold fix 1968 -> SGOL,Tiingo,M,Gold; verify day
commodity_etf,SLV,iShares Silver Trust,etf,2006-04-21,1968,Tiingo/yfinance,LBMA Silver 1968 -> SLV,Tiingo,H,Silver; physical
commodity_etf,SIVR,abrdn Physical Silver,etf,2009-07-24,1968,Tiingo/yfinance,LBMA Silver -> SIVR,Tiingo,M,Silver; verify day
commodity_etf,PPLT,abrdn Physical Platinum,etf,2010-01-08,2010,Tiingo/yfinance,platinum spot -> PPLT 2010,Tiingo,M,Platinum; verify day
commodity_etf,PALL,abrdn Physical Palladium,etf,2010-01-08,2010,Tiingo/yfinance,palladium spot -> PALL 2010,Tiingo,M,Palladium; verify day
commodity_etf,CPER,United States Copper Index Fund,etf,2011-11-15,1959,Tiingo/yfinance,copper roll (HG 1988 / copper 1959) -> CPER 2011,Tiingo,M,Copper; futures-backed; verify day
commodity_etf,DBC,Invesco DB Commodity Index,etf,2006-02-03,1989,Tiingo/yfinance,DBIQ Optimum Yield ER ~1989 -> DBC,Tiingo,H,Broad commodity; futures-backed
commodity_etf,DBE,Invesco DB Energy Fund,etf,2007-01-05,1989,Tiingo/yfinance,DBIQ Energy ER -> DBE,Tiingo,M,Energy basket; verify day
commodity_etf,DBP,Invesco DB Precious Metals Fund,etf,2007-01-05,1968,Tiingo/yfinance,DBIQ Precious Metals ER -> DBP,Tiingo,M,Precious basket; verify day
commodity_etf,GSG,iShares S&P GSCI Commodity,etf,2006-07-10,1970,Tiingo/yfinance,S&P GSCI TR back-cast 1970 -> GSG,Tiingo,H,Broad commodity; futures-backed
commodity_index,GSCI,S&P GSCI commodity index,index,1991,1970,S&P DJI,GSCI back-tested 1970 (hypothetical pre-1991),S&P DJI,H,Broad; energy-heavy
commodity_index,BCOM,Bloomberg Commodity Index,index,1991,1960,Bloomberg,BCOM back-calc 1960 (hypothetical pre-1991),Bloomberg,H,Broad; diversified
commodity_index,CRB,Refinitiv/CoreCommodity CRB Index,index,1957,1947,LSEG/CoreCommodity,CRB live 1957 (base 1947-49),LSEG,H,Oldest live broad index
commodity_spot,GOLD_SPOT,Gold spot price,spot,1968,1833,NMA/LBMA,NMA annual 1833 / LBMA PM fix 1968,WGC Goldhub,H,Deepest gold
commodity_spot,WTI_SPOT,WTI crude spot,spot,1986,1946,EIA/Macrotrends,Macrotrends annual 1946 / EIA daily 1986,EIA,H,Deepest oil
